"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"771","Crystal Dunn","United States",2,0,"2016-08-09","2016-08-09","🇺🇸"
"772","Dagný Brynjarsdóttir","Iceland",2,1,"2013-07-17","2022-07-18","🇮🇸"
"773","Daiane Rodrigues","United States",2,0,"2011-07-10","2011-07-10","🇺🇸"
"774","Daryna Apanaschenko","Ukraine",2,0,"2009-08-26","2024-10-25","🇺🇦"
"775","Deanne Rose","Canada",2,0,"2016-08-19","2016-08-19","🇨🇦"
"776","Dianne Alagich","Russia",2,0,"2003-09-21","2003-09-21","🇷🇺"
"777","Duda Sampaio","Spain",2,0,"2024-08-06","2024-08-06","🇪🇸"
"778","Eda Karataş","Ukraine",2,0,"2024-10-29","2024-10-29","🇺🇦"
"779","Eden Avital","Israel",2,0,"2024-04-09","2024-04-09","🇮🇱"
"780","Elena Linari","Finland",2,0,"2024-04-09","2024-04-09","🇫🇮"
"781","Eleni Markou","Greece",2,0,"2024-05-31","2024-05-31","🇬🇷"
"782","Elisabeth Deighan","England",2,0,"1984-04-08","1984-04-08","🇬🇧"
"783","Elke Van Gorp","Belgium",2,0,"2017-07-20","2017-07-20","🇧🇪"
"784","Emina Ekic","Bosnia and Herzegovina",2,0,"2024-10-25","2024-10-25","❓"
"785","Emma Lipman","Northern Ireland",2,0,"2024-07-12","2024-07-12","🇬🇧"
"786","Eva Nyström","Norway",2,0,"2025-07-06","2025-07-06","🇳🇴"
"787","Evdokiya Popadinova","Bulgaria",2,1,"2024-04-09","2024-04-09","🇧🇬"
"788","Evelyne Viens","Canada",2,0,"2024-07-25","2024-07-25","🇨🇦"
"789","Florence Okoe","Ghana",2,1,"2007-09-20","2007-09-20","🇬🇭"
"790","Florencia Quiñones","China PR",2,0,"2008-08-12","2008-08-12","🇨🇳"
"791","Françoise Jézéquel","France",2,1,"2001-07-01","2001-07-01","🇫🇷"
"792","Futaba Kioka","Japan",2,0,"1996-07-21","1996-07-21","🇯🇵"
"793","Féli Delacauw","Belgium",2,0,"2024-04-09","2024-04-09","🇧🇪"
"794","Griedge Mbock Bathy","France",2,0,"2022-07-14","2022-07-14","🇫🇷"
"795","Han Duan","China PR",2,0,"2008-08-06","2008-08-06","🇨🇳"
"796","Hanna Marklund","Sweden",2,0,"2004-08-17","2004-08-17","🇸🇪"
"797","Hannah Eurlings","Belgium",2,0,"2025-07-07","2025-07-07","🇧🇪"
"798","Heidi Kackur","Finland",2,0,"2005-06-11","2005-06-11","🇫🇮"
"799","Heidi Sevdal","Faroe Islands",2,0,"2024-07-12","2024-07-12","🇫🇴"
"800","Helen Stoumbos","Canada",2,0,"1995-06-06","1995-06-06","🇨🇦"
"801","Hikaru Naomoto","Japan",2,0,"2023-07-26","2023-07-26","🇯🇵"
"802","Hildur Antonsdóttir","Iceland",2,0,"2024-06-04","2024-06-04","🇮🇸"
"803","Ingrid Johansson","Sweden",2,0,"1991-11-17","1991-11-17","🇸🇪"
"804","Irina Khaburdzania","Georgia",2,0,"2024-05-31","2024-05-31","🇬🇪"
"805","Iuliana Colnic","Moldova",2,0,"2024-06-04","2024-06-04","🇲🇩"
"806","Izabela Lojna","Croatia",2,1,"2024-04-09","2024-10-25","🇭🇷"
"807","Jackie Sherrard","England",2,0,"1987-06-11","1987-06-11","🇬🇧"
"808","Jeon Ga-eul","South Korea",2,0,"2015-06-13","2015-06-13","🇰🇷"
"809","Jessica Clarke","England",2,0,"2011-07-01","2011-07-01","🇬🇧"
"810","Jessica Fishlock","Wales",2,0,"2024-10-29","2024-10-29","🇬🇧"
"811","Ji So-yun","South Korea",2,1,"2015-06-13","2015-06-13","🇰🇷"
"812","Joely Andrews","Northern Ireland",2,0,"2024-07-16","2024-07-16","🇬🇧"
"813","Jonelle Filigno","Canada",2,0,"2012-08-03","2012-08-03","🇨🇦"
"814","Jonna Andersson","United States",2,0,"2019-06-20","2019-06-20","🇺🇸"
"815","Josephine Henning","Germany",2,0,"2017-07-21","2017-07-21","🇩🇪"
"816","Josée Nahi","Ivory Coast",2,0,"2015-06-11","2015-06-11","❓"
"817","Julia Stierli","Norway",2,0,"2025-07-02","2025-07-02","🇳🇴"
"818","Julie Ertz","Japan",2,0,"2015-07-05","2015-07-05","🇯🇵"
"819","Julie Murray","Australia",2,0,"1999-06-20","1999-06-23","🇦🇺"
"820","Karin Stevens","Netherlands",2,0,"2009-08-23","2009-08-23","🇳🇱"
"821","Karla Villalobos","Costa Rica",2,0,"2015-06-13","2015-06-13","🇨🇷"
"822","Kateryna Korsun","Ukraine",2,0,"2024-07-16","2024-07-16","🇺🇦"
"823","Katharina Naschenweng","Austria",2,0,"2022-07-11","2022-07-11","🇦🇹"
"824","Katharina Schiechtl","Austria",2,0,"2022-07-11","2022-07-11","🇦🇹"
"825","Katrine Pedersen","Denmark",2,0,"2007-09-15","2007-09-15","🇩🇰"
"826","Kelley O'Hara","United States",2,0,"2015-06-30","2015-06-30","🇺🇸"
"827","Kerry Beattie","Northern Ireland",2,0,"2024-07-12","2024-07-12","🇬🇧"
"828","Kika Nazareth","Portugal",2,0,"2024-06-04","2024-06-04","🇵🇹"
