"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"954","Ellyse Perry","Australia",1,0,"2011-07-10","2011-07-10","🇦🇺"
"955","Emilie Haavi","Norway",1,0,"2011-06-29","2011-06-29","🇳🇴"
"956","Emma Koivisto","Finland",1,0,"2024-07-12","2024-07-12","🇫🇮"
"957","Emma Kremer","Luxembourg",1,0,"2024-06-04","2024-06-04","🇱🇺"
"958","Emmaculate Msipa","Zimbabwe",1,0,"2016-08-09","2016-08-09","🇿🇼"
"959","Erica Gonçalves","Andorra",1,0,"2024-06-04","2024-06-04","🇦🇩"
"960","Eva González","Argentina",1,0,"2007-09-17","2007-09-17","🇦🇷"
"961","Ewelina Kamczyk","Poland",1,0,"2024-04-09","2024-04-09","🇵🇱"
"962","Fabiola Ibarra","Mexico",1,0,"2015-06-13","2015-06-13","🇲🇽"
"963","Fanndís Friðriksdóttir","Iceland",1,0,"2017-07-22","2017-07-22","🇮🇸"
"964","Faye White","England",1,0,"2009-08-31","2009-08-31","🇬🇧"
"965","Gabi Nunes","Brazil",1,0,"2024-07-25","2024-07-25","🇧🇷"
"966","Gabi Rennie","New Zealand",1,0,"2021-07-21","2021-07-21","🇳🇿"
"967","Galina Komarova","Russia",1,0,"1999-06-20","1999-06-20","🇷🇺"
"968","Guro Knutsen","Norway",1,0,"2008-08-12","2008-08-12","🇳🇴"
"969","Havana Solaun","Jamaica",1,0,"2019-06-18","2019-06-18","🇯🇲"
"970","Henrietta Csiszár","Hungary",1,0,"2024-04-05","2024-04-05","🇭🇺"
"971","Honoka Hayashi","Japan",1,0,"2023-08-11","2023-08-11","🇯🇵"
"972","Hólmfríður Magnúsdóttir","Iceland",1,0,"2009-08-24","2009-08-24","🇮🇸"
"973","Ibtissam Jraïdi","Morocco",1,0,"2023-07-30","2023-07-30","🇲🇦"
"974","Inge Hindkjær","Denmark",1,1,"1984-04-08","1984-04-08","🇩🇰"
"975","Ingvild Isaksen","Norway",1,0,"2013-07-17","2013-07-17","🇳🇴"
"976","Ioana Bălăceanu","Romania",1,0,"2024-10-25","2024-10-25","🇷🇴"
"977","Isabel Kerschowski","Germany",1,0,"2017-07-30","2017-07-30","🇩🇪"
"978","Isabel Parejo","Spain",1,0,"1997-06-29","1997-06-29","🇪🇸"
"979","Isabell Bachor","Germany",1,0,"2004-08-23","2004-08-23","🇩🇪"
"980","Izabela Lojna","Northern Ireland",1,0,"2024-10-25","2024-10-25","🇬🇧"
"981","Jackie Groenen","Netherlands",1,0,"2019-07-03","2019-07-03","🇳🇱"
"982","Janni Johansen","Denmark",1,0,"1999-06-24","1999-06-24","🇩🇰"
"983","Jassina Blom","Belgium",1,0,"2024-06-04","2024-06-04","🇧🇪"
"984","Jennifer Echegini","Nigeria",1,0,"2024-07-31","2024-07-31","🇳🇬"
"985","Jessica Landström","Sweden",1,0,"2011-06-28","2011-06-28","🇸🇪"
"986","Jheniffer","Brazil",1,0,"2024-07-28","2024-07-28","🇧🇷"
"987","Ji Ting","China PR",1,0,"2004-08-14","2004-08-14","🇨🇳"
"988","Joanne Peters","Australia",1,0,"2004-08-17","2004-08-17","🇦🇺"
"989","Jonna Andersson","Sweden",1,0,"2022-07-09","2022-07-09","🇸🇪"
"990","Josefine Rybrink","Sweden",1,0,"2024-07-12","2024-07-12","🇸🇪"
"991","Josée Bélanger","Canada",1,0,"2015-06-21","2015-06-21","🇨🇦"
"992","Julie Nelson","Northern Ireland",1,0,"2022-07-07","2022-07-07","🇬🇧"
"993","Julie Rydahl Bukh","Denmark",1,0,"2001-06-25","2001-06-25","🇩🇰"
"994","Kadeisha Buchanan","Canada",1,0,"2019-06-10","2019-06-10","🇨🇦"
"995","Kairi Himanen","Estonia",1,0,"2024-05-31","2024-05-31","🇪🇪"
"996","Kamila Kulmagambetova","Kazakhstan",1,0,"2024-05-31","2024-05-31","🇰🇿"
"997","Kanjana Sungngoen","Thailand",1,0,"2019-06-16","2019-06-16","🇹🇭"
"998","Karen Araya","Chile",1,1,"2021-07-24","2021-07-24","🇨🇱"
"999","Karina Maruyama","Japan",1,0,"2011-07-09","2011-07-09","🇯🇵"
"1000","Karólína Lea Vilhjálmsdóttir","Iceland",1,0,"2022-07-14","2022-07-14","🇮🇸"
"1001","Katariina Kosola","Finland",1,0,"2025-07-02","2025-07-02","🇫🇮"
"1002","Kate Taylor","New Zealand",1,0,"2024-07-31","2024-07-31","🇳🇿"
"1003","Katrine Veje","Denmark",1,0,"2017-07-24","2017-07-24","🇩🇰"
"1004","Keira Walsh","England",1,0,"2025-07-05","2025-07-05","🇬🇧"
"1005","Kelly Golebiowski","Australia",1,0,"2003-09-21","2003-09-21","🇦🇺"
"1006","Kim Jin-hee","South Korea",1,0,"2003-09-27","2003-09-27","🇰🇷"
"1007","Kim Nye","New Zealand",1,0,"1991-11-21","1991-11-21","🇳🇿"
"1008","Kristina Teern","Estonia",1,0,"2024-07-16","2024-07-16","🇪🇪"
"1009","Kristine Wigdahl Hegland","Norway",1,0,"2013-07-11","2013-07-11","🇳🇴"
"1010","Kudakwashe Basopo","Zimbabwe",1,0,"2016-08-03","2016-08-03","🇿🇼"
"1011","Laia Codina","Switzerland",1,0,"2023-08-05","2023-08-05","🇨🇭"
"1012","Lana Clelland","Scotland",1,0,"2019-06-14","2019-06-14","🇬🇧"
"1013","Larissa Savina","Russia",1,0,"1997-06-29","1997-06-29","🇷🇺"
"1014","Laura Miller","Luxembourg",1,0,"2024-07-12","2024-07-12","🇱🇺"
"1015","Lene Madsen","Denmark",1,0,"1996-07-23","1996-07-23","🇩🇰"
"1016","Li Ying","China PR",1,0,"2019-06-13","2019-06-13","🇨🇳"
"1017","Lily Woodham","Wales",1,0,"2024-11-29","2024-11-29","🇬🇧"
"1018","Linda Fagerström","Sweden",1,0,"2001-06-30","2001-06-30","🇸🇪"
"1019","Lisa Casagrande","Australia",1,0,"1995-06-10","1995-06-10","🇦🇺"
"1020","Lisa Makas","Austria",1,0,"2017-07-22","2017-07-22","🇦🇹"
"1021","Lisette Tammik","Estonia",1,0,"2024-07-12","2024-07-12","🇪🇪"
"1022","Lucia Di Guglielmo","Italy",1,0,"2024-04-09","2024-04-09","🇮🇹"
"1023","Ludmila Manicler","Argentina",1,0,"2008-08-06","2008-08-06","🇦🇷"
"1024","Luçije Gjini","Albania",1,0,"2024-04-05","2024-04-05","🇦🇱"
"1025","Lyudmyla Pekur","Ukraine",1,0,"2009-08-29","2009-08-29","🇺🇦"
"1026","Mackenzie Barry","New Zealand",1,0,"2024-07-25","2024-07-25","🇳🇿"
"1027","Maija Saari","Finland",1,0,"2009-08-23","2009-08-23","🇫🇮"
"1028","Maiko Bebia","Georgia",1,0,"2024-07-16","2024-07-16","🇬🇪"
"1029","Maren Mjelde","Norway",1,0,"2015-06-11","2015-06-11","🇳🇴"
"1030","Margrét Lára Viðarsdóttir","Iceland",1,1,"2013-07-11","2013-07-11","🇮🇸"
"1031","Marija Milinković","Bosnia and Herzegovina",1,0,"2024-04-09","2024-04-09","❓"
"1032","Marit Fiane Christensen","Norway",1,0,"2013-07-25","2013-07-25","🇳🇴"
"1033","Marlous Pieëte","Netherlands",1,0,"2009-09-06","2009-09-06","🇳🇱"
"1034","Marta Cardona","Spain",1,0,"2022-07-16","2022-07-16","🇪🇸"
"1035","Martina Piemonte","Italy",1,0,"2022-07-10","2022-07-10","🇮🇹"
"1036","Mavis Chirandu","Zimbabwe",1,0,"2016-08-06","2016-08-06","🇿🇼"
"1037","Melvine Malard","France",1,0,"2022-07-18","2022-07-18","🇫🇷"
"1038","Merle Frohms","France",1,0,"2022-07-27","2022-07-27","🇫🇷"
"1039","Milda Liužinaitė","Lithuania",1,0,"2024-04-09","2024-04-09","🇱🇹"
"1040","Minna Mustonen","Finland",1,0,"2005-06-15","2005-06-15","🇫🇮"
"1041","Mónica Ocampo","Mexico",1,0,"2011-06-27","2011-06-27","🇲🇽"
"1042","Nadejda Colesnicenco","Latvia",1,0,"2024-04-09","2024-04-09","🇱🇻"
"1043","Nami Otake","Japan",1,0,"1999-06-19","1999-06-19","🇯🇵"
"1044","Nana Gyamfuah","Ghana",1,0,"1999-06-20","1999-06-20","🇬🇭"
"1045","Nazlican Parlak","Azerbaijan",1,0,"2024-10-25","2024-10-25","🇦🇿"
"1046","Nelli Korovkina","Russia",1,0,"2013-07-15","2013-07-15","🇷🇺"
"1047","Nichelle Prince","Great Britain",1,0,"2021-07-27","2021-07-27","❓"
"1048","Nicole Billa","Austria",1,0,"2022-07-15","2022-07-15","🇦🇹"
"1049","Nigar Mirzaliyeva","Azerbaijan",1,0,"2024-06-04","2024-06-04","🇦🇿"
"1050","Olivia Clark","Republic of Ireland",1,0,"2024-11-29","2024-11-29","🇮🇪"
"1051","Oona Sevenius","Finland",1,0,"2025-07-06","2025-07-06","🇫🇮"
"1052","Portia Modise","South Africa",1,0,"2012-07-25","2012-07-25","🇿🇦"
"1053","Raquel Fernandes","Brazil",1,0,"2015-06-17","2015-06-17","🇧🇷"
"1054","Raquel Rodríguez","Costa Rica",1,0,"2015-06-09","2015-06-09","🇨🇷"
"1055","Ri Un-suk","North Korea",1,0,"2007-09-18","2007-09-18","🇰🇵"
"1056","Sara Di Filippo","Italy",1,0,"2005-06-06","2005-06-06","🇮🇹"
"1057","Sarina Bolden","Philippines",1,0,"2023-07-25","2023-07-25","🇵🇭"
"1058","Sevinj Jafarzade","Azerbaijan",1,1,"2024-04-05","2024-04-05","🇦🇿"
"1059","Simona Petkova","Bulgaria",1,0,"2024-04-05","2024-04-05","🇧🇬"
"1060","Siri Nordby","Norway",1,1,"2008-08-15","2008-08-15","🇳🇴"
"1061","Sophie Howard","Scotland",1,0,"2024-04-09","2024-04-09","🇬🇧"
"1062","Talia Sommer","Israel",1,0,"2024-05-31","2024-05-31","🇮🇱"
"1063","Tatev Khachatryan","Armenia",1,0,"2024-07-16","2024-07-16","🇦🇲"
"1064","Teresa Morató","Andorra",1,0,"2024-04-05","2024-04-05","🇦🇩"
"1065","Thaisa","Brazil",1,0,"2019-06-23","2019-06-23","🇧🇷"
"1066","Tina Nordlund","Sweden",1,0,"2001-07-04","2001-07-04","🇸🇪"
"1067","Tina Wunderlich","Norway",1,0,"2000-09-24","2000-09-24","🇳🇴"
"1068","Ulza Maksuti","North Macedonia",1,0,"2024-05-31","2024-05-31","🇲🇰"
"1069","Valentina Bergamaschi","Italy",1,0,"2022-07-14","2022-07-14","🇮🇹"
"1070","Vera Okolo","Nigeria",1,0,"2004-08-14","2004-08-14","🇳🇬"
"1071","Veronika Andrukhiv","Ukraine",1,0,"2024-05-31","2024-05-31","🇺🇦"
"1072","Verónica Pérez","Mexico",1,0,"2015-06-09","2015-06-09","🇲🇽"
"1073","Wendie Renard","Norway",1,0,"2019-06-12","2019-06-12","🇳🇴"
"1074","Yanina Gaitán","Argentina",1,0,"2003-09-27","2003-09-27","🇦🇷"
"1075","Yeo Min-ji","South Korea",1,0,"2019-06-17","2019-06-17","🇰🇷"
"1076","Yui Hasegawa","Japan",1,0,"2019-06-25","2019-06-25","🇯🇵"
"1077","Ève Périsset","France",1,1,"2022-07-23","2022-07-23","🇫🇷"
"1078","Élise Bussaglia","France",1,0,"2011-07-09","2011-07-09","🇫🇷"
"1079",NA,NA,NA,NA,"1956-09-23","2025-11-01",NA
